sample_id	id	Group	RNA_matrix	allcool_gen_matrix	filtered_barcode	CNV_matrix
RS9	RS9	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/FGP_25_10/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/FGP_25_10.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/FGP_25_10/FGP_25_10_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/FGP_25_10
RS13	RS13	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/SHG_25_14/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/SHG_25_14.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/SHG_25_14/SHG_25_14_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/SHG_25_14
RS14	RS14	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZNJ_25_15/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZNJ_25_15.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZNJ_25_15/ZNJ_25_15_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZNJ_25_15
RS17	RS17	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/HLB_25_18/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/HLB_25_18.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/HLB_25_18/HLB_25_18_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/HLB_25_18
RS20	RS20	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZXL_25_21/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZXL_25_21.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZXL_25_21/ZXL_25_21_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZXL_25_21
RS3	RS3	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/JLF_25_4/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/JLF_25_4.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/JLF_25_4/JLF_25_4_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/JLF_25_4
RS32	RS32	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/XYX_25_33/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/XYX_25_33.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/XYX_25_33/XYX_25_33_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/XYX_25_33
RS4	RS4	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZYM_25_5/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZYM_25_5.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZYM_25_5/ZYM_25_5_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZYM_25_5
RS40	RS40	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/DZP_25_41/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/DZP_25_41.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/DZP_25_41/DZP_25_41_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/DZP_25_41
RS47	RS47	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LNP_25_48/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LNP_25_48.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LNP_25_48/LNP_25_48_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LNP_25_48
RS48	RS48	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/XYF_25_49/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/XYF_25_49.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/XYF_25_49/XYF_25_49_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/XYF_25_49
RS7	RS7	G2	/home/lishengdi/workspace/project/maxingyong/matrix/rna/NMF_25_8/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/NMF_25_8.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/NMF_25_8/NMF_25_8_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/NMF_25_8
RS65	RS65	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/CZP_25_66/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/CZP_25_66.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/CZP_25_66/CZP_25_66_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/CZP_25_66
RS67	RS67	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/CJ_25_68_/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/CJ_25_68_.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/CJ_25_68_/CJ_25_68__filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/CJ_25_68_
RS1	RS1	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZFL_25_2/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZFL_25_2.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZFL_25_2/ZFL_25_2_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZFL_25_2
RS16	RS16	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LNZ_25_17/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LNZ_25_17.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LNZ_25_17/LNZ_25_17_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LNZ_25_17
RS19	RS19	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/CMM_25_20/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/CMM_25_20.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/CMM_25_20/CMM_25_20_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/CMM_25_20
RS2	RS2	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/MYF_25_3/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/MYF_25_3.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/MYF_25_3/MYF_25_3_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/MYF_25_3
RS25	RS25	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/YZQ_25_26/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/YZQ_25_26.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/YZQ_25_26/YZQ_25_26_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/YZQ_25_26
RS27	RS27	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/YHX_25_28/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/YHX_25_28.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/YHX_25_28/YHX_25_28_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/YHX_25_28
RS30	RS30	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LCJ_25_31/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LCJ_25_31.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LCJ_25_31/LCJ_25_31_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LCJ_25_31
RS35	RS35	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZZL_25_36/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZZL_25_36.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZZL_25_36/ZZL_25_36_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZZL_25_36
RS39	RS39	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/YNX_25_40/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/YNX_25_40.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/YNX_25_40/YNX_25_40_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/YNX_25_40
RS44	RS44	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/DBF_25_45/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/DBF_25_45.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/DBF_25_45/DBF_25_45_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/DBF_25_45
RS46	RS46	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/FY_25_47/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/FY_25_47.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/FY_25_47/FY_25_47_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/FY_25_47
RS52	RS52	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LWL_25_53/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LWL_25_53.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LWL_25_53/LWL_25_53_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LWL_25_53
RS57	RS57	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZZG_25_58/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZZG_25_58.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZZG_25_58/ZZG_25_58_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZZG_25_58
RS59	RS59	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/MGY_25_60/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/MGY_25_60.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/MGY_25_60/MGY_25_60_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/MGY_25_60
RS6	RS6	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LYC_25_7/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LYC_25_7.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LYC_25_7/LYC_25_7_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LYC_25_7
RS60	RS60	G3	/home/lishengdi/workspace/project/maxingyong/matrix/rna/YZG_25_61/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/YZG_25_61.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/YZG_25_61/YZG_25_61_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/YZG_25_61
